entity,date,day_of_week,is_weekend,siem_events_total,siem_unique_destination_addr,siem_unique_source_process,siem_unique_event_class,siem_unique_category,siem_unique_name,siem_unique_hours,siem_night_share,siem_business_share,pan_events_total,pan_unique_destination_addr,pan_unique_event_class,pan_unique_category,pan_unique_name,pan_unique_hours,pan_night_share,pan_business_share,pan_share_of_all_events
user012,2025-12-07,6,1,6350,10,2,4,1,4,24,0.22850393700787403,0.3765354330708661,2185,223,2,0,1,24,0.24210526315789474,0.37894736842105264,0.2560046865846514
user012,2025-12-08,0,0,10810,24,7,13,1,14,24,0.14144310823311748,0.6162812210915819,4138,366,2,0,1,24,0.10343160947317545,0.5993233446109232,0.2768263312817768
user012,2025-12-09,1,0,9727,17,6,9,2,9,24,0.15647167677598436,0.5596792433432713,3817,368,2,0,1,24,0.15928739848048207,0.5176840450615666,0.2818222090962788
user012,2025-12-10,2,0,8421,21,7,10,2,10,24,0.17301983137394608,0.5791473696710604,3925,411,2,0,1,24,0.14445859872611466,0.658343949044586,0.31791673416491173
user012,2025-12-11,3,0,7700,23,6,11,2,11,24,0.13753246753246753,0.5697402597402598,3115,305,3,0,1,24,0.20642054574638843,0.4908507223113965,0.28802588996763756
user012,2025-12-12,4,0,9997,24,6,9,1,9,24,0.13193958187456237,0.6164849454836451,5350,395,2,0,1,24,0.09383177570093458,0.6986915887850468,0.34860233270345997
user012,2025-12-13,5,1,6067,20,7,14,2,15,24,0.21031811438931927,0.4974451953189385,3106,277,2,0,1,24,0.2678686413393432,0.4124275595621378,0.3386024201460809
user012,2025-12-14,6,1,5194,13,4,8,1,8,24,0.24278013092029266,0.39661147477859066,2765,245,2,0,1,24,0.2481012658227848,0.35226039783001806,0.34740545294635006
user012,2025-12-15,0,0,10177,28,7,12,1,13,24,0.12754249778913235,0.6161933772231503,3811,394,2,0,1,24,0.1946995539228549,0.4641826292311729,0.2724478124106377
user012,2025-12-16,1,0,9442,23,6,10,1,10,24,0.16214785003177293,0.5458589281931794,4333,375,1,0,1,24,0.09946918993768751,0.689591507039003,0.31455535390199635
user012,2025-12-17,2,0,9588,21,7,11,1,11,24,0.16979557780559032,0.5394242803504381,2174,231,1,0,1,23,0.23873045078196872,0.35510579576816925,0.18483251147763985
user012,2025-12-18,3,0,9736,21,6,10,1,10,24,0.15550534100246508,0.527013147082991,2360,262,1,0,1,22,0.19745762711864406,0.4245762711864407,0.19510582010582012
user012,2025-12-19,4,0,9727,22,6,10,1,10,24,0.17240670299167266,0.5390151125732497,2677,265,1,0,1,24,0.1576391483003362,0.5151288756070228,0.21581747823282812
user012,2025-12-20,5,1,6318,14,4,8,1,8,24,0.24770496992719215,0.36989553656220325,1291,165,1,0,1,17,0.3640588690937258,0.4608830364058869,0.16966749901432515
user012,2025-12-21,6,1,6442,12,4,8,1,8,24,0.25364793542378145,0.36960571251164237,0,0,0,0,0,0,0.0,0.0,0.0
user012,2025-12-22,0,0,11246,23,6,10,1,11,24,0.13658189578516805,0.5890094255735373,1549,194,1,0,1,14,0.0,0.7030342156229825,0.12106291520125048
user012,2025-12-23,1,0,10166,20,6,10,1,10,24,0.1534526854219949,0.5330513476293527,2345,241,1,0,1,24,0.20810234541577824,0.43837953091684434,0.18743505714970826
user012,2025-12-24,2,0,10715,20,6,11,2,11,24,0.14848343443770415,0.5484834344377042,2911,291,2,0,1,24,0.2572998969426314,0.398832016489179,0.21363569646264494
user012,2025-12-25,3,0,12461,20,6,8,1,8,24,0.13417863734852742,0.6248294679399727,2994,334,2,0,1,24,0.18570474281897129,0.49298597194388777,0.1937237140084115
user012,2025-12-26,4,0,10895,19,6,9,2,9,24,0.15172097292335934,0.5942175309775126,2701,301,3,0,1,24,0.19844502036282857,0.4679748241392077,0.19866137099146808
user012,2025-12-27,5,1,6753,13,4,9,1,9,24,0.2535169554272175,0.3795350214719384,2340,267,2,0,1,24,0.20598290598290597,0.4239316239316239,0.25734081161332895
user012,2025-12-28,6,1,8795,24,8,21,2,23,24,0.18339965889710064,0.5050596930073905,16531,274,2,0,1,24,0.0336942713689432,0.7758151352005324,0.6527284213851378
user012,2025-12-29,0,0,11378,26,6,11,2,12,24,0.14923536649674812,0.6349973633327474,8684,457,2,0,1,24,0.0520497466605251,0.831759557807462,0.43285813976672316
user012,2025-12-30,1,0,7685,22,7,12,1,13,24,0.1811320754716981,0.5325959661678594,3865,264,2,0,1,24,0.1498059508408797,0.6333764553686934,0.3346320346320346
user012,2025-12-31,2,0,6999,20,7,17,2,18,24,0.1814544934990713,0.5233604800685813,5917,286,2,0,1,24,0.11526111205002534,0.7530843332769985,0.45811396717249925
user013,2025-12-01,0,0,3416,19,50,6,1,11,20,0.10685011709601873,0.48624121779859486,2702,344,1,0,1,20,0.18171724648408585,0.5074019245003701,0.4416475972540046
user013,2025-12-02,1,0,7,1,5,1,1,1,1,0.0,0.0,968,199,1,0,1,4,0.0,0.38326446280991733,0.9928205128205129
user013,2025-12-04,3,0,3774,19,55,5,1,8,17,0.0,0.4933757286698463,2760,339,1,0,1,17,0.0,0.44420289855072465,0.42240587695133147
user013,2025-12-05,4,0,3782,18,21,6,1,7,20,0.20676890534108938,0.48360655737704916,2474,351,1,0,1,20,0.21422797089733225,0.5436540016168149,0.395460358056266
user013,2025-12-06,5,1,11,1,4,1,1,1,1,0.0,0.0,80,17,1,0,1,2,0.0,0.0,0.8791208791208791
user013,2025-12-08,0,0,4056,22,58,6,1,11,18,0.0,0.5475838264299803,3260,345,1,0,1,18,0.0,0.5457055214723926,0.4455986878075451
user013,2025-12-09,1,0,3815,17,22,6,1,8,21,0.15386631716906946,0.546526867627785,4365,561,1,0,1,19,0.13516609392898052,0.6517754868270332,0.5336185819070904
user013,2025-12-10,2,0,14,2,4,2,1,2,2,0.07142857142857142,0.0,60,11,1,0,1,2,0.0,0.0,0.8108108108108109
user013,2025-12-12,4,0,4110,19,71,5,1,11,18,0.0,0.5627737226277372,5747,490,2,0,1,18,0.0,0.7344701583434835,0.5830374353251496
user013,2025-12-13,5,1,2846,20,22,6,1,6,20,0.17252283907238228,0.46591707659873505,3152,374,1,0,1,20,0.2071700507614213,0.5279187817258884,0.5255085028342781
user013,2025-12-14,6,1,0,0,0,0,0,0,0,0.0,0.0,50,16,1,0,1,2,0.0,0.0,1.0
user013,2025-12-16,1,0,3290,20,53,6,1,6,18,0.0,0.4796352583586626,2154,302,1,0,1,17,0.0,0.5292479108635098,0.3956649522409993
user013,2025-12-17,2,0,3301,16,21,6,1,6,20,0.1938806422296274,0.5134807634050288,2195,282,1,0,1,20,0.23826879271070614,0.516628701594533,0.39938136826783116
user013,2025-12-18,3,0,26,1,5,1,1,1,1,0.0,0.0,306,67,1,0,1,2,0.0,0.0,0.9216867469879518
user013,2025-12-20,5,1,3222,19,54,5,1,5,18,0.0,0.35257603972687773,2288,318,1,0,1,17,0.0,0.40166083916083917,0.41524500907441014
user013,2025-12-21,6,1,3056,18,20,6,1,6,19,0.1462696335078534,0.5150523560209425,2166,322,1,0,1,19,0.22530009233610343,0.5341643582640813,0.4147836078130984
user013,2025-12-22,0,0,220,11,34,5,1,5,2,0.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0
user013,2025-12-23,1,0,1,1,0,1,1,1,1,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0
user013,2025-12-24,2,0,4266,19,53,5,1,5,18,0.0,0.49437412095639943,2822,368,1,0,1,18,0.0,0.45216158752657687,0.39813769751693
user013,2025-12-25,3,0,3999,19,18,6,1,6,21,0.25131282820705175,0.4196049012253063,2805,394,1,0,1,19,0.18253119429590017,0.4966131907308378,0.4122574955908289
user013,2025-12-26,4,0,25,1,6,1,1,1,1,0.0,0.0,46,8,1,0,1,2,0.0,0.0,0.647887323943662
user013,2025-12-29,0,0,2838,19,52,6,1,6,15,0.0,0.5221987315010571,2155,321,1,0,1,13,0.0,0.5248259860788863,0.43160424594432206
user013,2025-12-30,1,0,29,3,5,2,1,2,3,0.1724137931034483,0.4827586206896552,66,11,1,0,1,2,0.0,0.0,0.6947368421052632
user014,2025-12-01,0,0,7327,15,26,8,1,12,24,0.18957281288385425,0.4233656339565989,2313,226,3,0,1,24,0.15737137916126243,0.47946389969736275,0.2399377593360996
user014,2025-12-02,1,0,7121,15,23,8,1,11,24,0.18213734026119927,0.4811122033422272,983,170,2,0,1,17,0.3326551373346897,0.1017293997965412,0.12129812438302073
user014,2025-12-03,2,0,5815,15,26,9,1,10,24,0.14789337919174547,0.4954428202923474,918,169,2,0,1,20,0.015250544662309368,0.4531590413943355,0.1363433833358087
user014,2025-12-04,3,0,5466,15,23,10,1,11,24,0.1375777533845591,0.4963410171972192,2499,300,2,0,1,24,0.17006802721088435,0.6222488995598239,0.31374764595103577
