entity,date,day_of_week,is_weekend,siem_events_total,siem_unique_destination_addr,siem_unique_source_process,siem_unique_event_class,siem_unique_category,siem_unique_name,siem_unique_hours,siem_night_share,siem_business_share,pan_events_total,pan_unique_destination_addr,pan_unique_event_class,pan_unique_category,pan_unique_name,pan_unique_hours,pan_night_share,pan_business_share,pan_share_of_all_events,siem_unique_users,pan_unique_users
cplus-010620,2025-12-20,5,1,4403,2,2,3,1,3,24,0.2580059050647286,0.3758800817624347,0,0,0,0,0,0,0.0,0.0,0.0,0,0
cplus-010620,2025-12-21,6,1,4329,2,2,3,1,3,24,0.2541002541002541,0.3751443751443751,0,0,0,0,0,0,0.0,0.0,0.0,0,0
cplus-010620,2025-12-22,0,0,4328,4,3,3,1,3,24,0.2543900184842883,0.378003696857671,0,0,0,0,0,0,0.0,0.0,0.0,0,0
cplus-010620,2025-12-23,1,0,4337,5,3,4,1,4,24,0.2527092460225962,0.3816001844593036,0,0,0,0,0,0,0.0,0.0,0.0,0,0
cplus-010620,2025-12-24,2,0,4323,4,3,3,1,3,24,0.2519083969465648,0.3761276891047883,0,0,0,0,0,0,0.0,0.0,0.0,0,0
cplus-010620,2025-12-25,3,0,4334,3,2,4,1,4,24,0.2514997692662667,0.3740193816335948,0,0,0,0,0,0,0.0,0.0,0.0,0,0
cplus-010620,2025-12-26,4,0,4320,4,2,3,1,3,24,0.2502314814814815,0.3747685185185185,0,0,0,0,0,0,0.0,0.0,0.0,0,0
cplus-010620,2025-12-27,5,1,4331,3,3,3,1,3,24,0.2523666589702147,0.3805125836989148,0,0,0,0,0,0,0.0,0.0,0.0,0,0
cplus-010620,2025-12-28,6,1,4325,2,2,4,1,4,24,0.2497109826589595,0.3808092485549132,0,0,0,0,0,0,0.0,0.0,0.0,0,0
cplus-010620,2025-12-29,0,0,4318,2,2,3,1,3,24,0.2535896248263085,0.3786475220009263,0,0,0,0,0,0,0.0,0.0,0.0,0,0
cplus-010620,2025-12-30,1,0,4330,3,2,4,1,4,24,0.2503464203233256,0.376905311778291,0,0,0,0,0,0,0.0,0.0,0.0,0,0
cplus-010620,2025-12-31,2,0,4314,2,2,3,1,3,24,0.2508113120074177,0.3820120537783959,0,0,0,0,0,0,0.0,0.0,0.0,0,0
cplus-0107994,2025-12-01,0,0,588,4,3,3,1,3,24,0.2346938775510204,0.4149659863945578,0,0,0,0,0,0,0.0,0.0,0.0,2,0
cplus-0107994,2025-12-02,1,0,583,3,2,3,1,3,24,0.2367066895368782,0.3876500857632933,0,0,0,0,0,0,0.0,0.0,0.0,2,0
cplus-0107994,2025-12-03,2,0,583,4,3,3,1,3,24,0.2349914236706689,0.3996569468267582,0,0,0,0,0,0,0.0,0.0,0.0,2,0
cplus-0107994,2025-12-04,3,0,589,4,2,3,1,3,24,0.2461799660441426,0.397283531409168,0,0,0,0,0,0,0.0,0.0,0.0,2,0
cplus-0107994,2025-12-05,4,0,627,4,6,4,1,4,24,0.2232854864433811,0.4114832535885167,0,0,0,0,0,0,0.0,0.0,0.0,3,0
cplus-0107994,2025-12-06,5,1,557,3,2,3,1,3,24,0.2423698384201077,0.4201077199281867,0,0,0,0,0,0,0.0,0.0,0.0,2,0
cplus-0107994,2025-12-07,6,1,648,4,6,4,1,4,24,0.294753086419753,0.3657407407407407,0,0,0,0,0,0,0.0,0.0,0.0,3,0
cplus-0107994,2025-12-08,0,0,589,4,3,3,1,3,24,0.2631578947368421,0.432937181663837,0,0,0,0,0,0,0.0,0.0,0.0,2,0
cplus-0107994,2025-12-09,1,0,600,3,2,3,1,3,24,0.2466666666666666,0.395,0,0,0,0,0,0,0.0,0.0,0.0,2,0
cplus-0107994,2025-12-10,2,0,602,5,3,3,1,3,24,0.2308970099667774,0.4302325581395348,0,0,0,0,0,0,0.0,0.0,0.0,2,0
cplus-0107994,2025-12-11,3,0,638,5,6,4,1,4,24,0.2304075235109718,0.4090909090909091,0,0,0,0,0,0,0.0,0.0,0.0,3,0
cplus-0107994,2025-12-12,4,0,717,5,5,3,1,3,24,0.202231520223152,0.4142259414225941,0,0,0,0,0,0,0.0,0.0,0.0,3,0
cplus-0107994,2025-12-13,5,1,727,3,2,3,1,3,24,0.2737276478679505,0.3700137551581843,0,0,0,0,0,0,0.0,0.0,0.0,2,0
cplus-0107994,2025-12-14,6,1,692,4,5,3,1,3,24,0.2514450867052023,0.384393063583815,0,0,0,0,0,0,0.0,0.0,0.0,3,0
cplus-0107994,2025-12-15,0,0,759,6,6,5,1,5,24,0.458498023715415,0.2924901185770751,0,0,0,0,0,0,0.0,0.0,0.0,13,0
cplus-0107994,2025-12-16,1,0,586,4,2,3,1,3,24,0.2764505119453925,0.3839590443686007,0,0,0,0,0,0,0.0,0.0,0.0,2,0
cplus-0107994,2025-12-17,2,0,553,5,3,3,1,3,24,0.3037974683544304,0.3743218806509946,0,0,0,0,0,0,0.0,0.0,0.0,2,0
cplus-0107994,2025-12-18,3,0,570,4,5,3,1,3,24,0.2456140350877192,0.4368421052631579,0,0,0,0,0,0,0.0,0.0,0.0,3,0
cplus-0107994,2025-12-19,4,0,561,4,2,3,1,3,24,0.2620320855614973,0.3761140819964349,0,0,0,0,0,0,0.0,0.0,0.0,2,0
cplus-0107994,2025-12-20,5,1,551,3,2,3,1,3,24,0.2740471869328493,0.3901996370235934,0,0,0,0,0,0,0.0,0.0,0.0,2,0
cplus-0107994,2025-12-21,6,1,562,3,2,3,1,3,24,0.2508896797153025,0.3807829181494662,0,0,0,0,0,0,0.0,0.0,0.0,2,0
cplus-0107994,2025-12-22,0,0,630,5,3,3,1,3,24,0.2507936507936508,0.3714285714285714,0,0,0,0,0,0,0.0,0.0,0.0,2,0
cplus-0107994,2025-12-23,1,0,686,3,2,3,1,3,24,0.2667638483965014,0.3965014577259475,0,0,0,0,0,0,0.0,0.0,0.0,2,0
cplus-0107994,2025-12-24,2,0,668,4,3,3,1,3,24,0.2619760479041916,0.4086826347305389,0,0,0,0,0,0,0.0,0.0,0.0,2,0
cplus-0107994,2025-12-25,3,0,712,3,2,3,1,3,24,0.25,0.4480337078651685,0,0,0,0,0,0,0.0,0.0,0.0,2,0
cplus-0107994,2025-12-26,4,0,711,3,2,3,1,3,24,0.2517580872011252,0.4317862165963432,0,0,0,0,0,0,0.0,0.0,0.0,2,0
cplus-0107994,2025-12-27,5,1,732,3,2,3,1,3,24,0.2459016393442623,0.4166666666666667,0,0,0,0,0,0,0.0,0.0,0.0,2,0
cplus-0107994,2025-12-28,6,1,693,3,2,3,1,3,24,0.2510822510822511,0.4155844155844156,0,0,0,0,0,0,0.0,0.0,0.0,2,0
cplus-0107994,2025-12-29,0,0,751,4,3,3,1,3,24,0.2450066577896138,0.4181091877496671,0,0,0,0,0,0,0.0,0.0,0.0,2,0
cplus-0107994,2025-12-30,1,0,730,3,2,3,1,3,24,0.2328767123287671,0.4356164383561643,0,0,0,0,0,0,0.0,0.0,0.0,2,0
cplus-0107994,2025-12-31,2,0,727,4,3,3,1,3,24,0.2462173314993122,0.4250343878954608,0,0,0,0,0,0,0.0,0.0,0.0,2,0
tmtp-000085,2025-12-01,0,0,2984,4,31,3,1,4,24,0.0908176943699732,0.5559651474530831,0,0,0,0,0,0,0.0,0.0,0.0,4,0
tmtp-000085,2025-12-02,1,0,2511,4,34,3,1,4,24,0.1210673038630027,0.6551174830744724,0,0,0,0,0,0,0.0,0.0,0.0,4,0
tmtp-000085,2025-12-03,2,0,2526,4,31,3,1,4,24,0.11243072050673,0.668646080760095,0,0,0,0,0,0,0.0,0.0,0.0,4,0
tmtp-000085,2025-12-04,3,0,2598,5,33,4,1,8,24,0.1851424172440338,0.6020015396458814,0,0,0,0,0,0,0.0,0.0,0.0,5,0
tmtp-000085,2025-12-05,4,0,2599,4,33,3,1,4,24,0.1038861100423239,0.6633320507887649,0,0,0,0,0,0,0.0,0.0,0.0,4,0
tmtp-000085,2025-12-06,5,1,1693,2,16,3,1,4,24,0.1582988777318369,0.5499113998818665,0,0,0,0,0,0,0.0,0.0,0.0,4,0
tmtp-000085,2025-12-07,6,1,2774,4,31,3,1,4,24,0.0966113914924297,0.7292718096611391,0,0,0,0,0,0,0.0,0.0,0.0,4,0
tmtp-000085,2025-12-08,0,0,2542,4,32,3,1,4,24,0.1132966168371361,0.6896144767899292,0,0,0,0,0,0,0.0,0.0,0.0,4,0
tmtp-000085,2025-12-09,1,0,2415,4,31,3,1,4,24,0.0894409937888198,0.682815734989648,0,0,0,0,0,0,0.0,0.0,0.0,4,0
tmtp-000085,2025-12-10,2,0,2516,4,31,3,1,3,24,0.0993640699523052,0.6808426073131956,0,0,0,0,0,0,0.0,0.0,0.0,4,0
