entity_type,entity,date,severity,top_contributors,reason_hint,soc_recommendation
user,user053,2025-12-31,low,"siem_unique_destination_addr:-2.70 (v=13, base=17); siem_unique_category:+2.22 (v=2, base=1); siem_unique_source_process:-1.08 (v=16, base=24); siem_unique_event_class:-0.94 (v=8, base=12); pan_events_total:-0.94 (v=1698, base=3445)",SIEM: новые адреса назначения в сети (снижение); SIEM: появление новых категорий событий (рост); SIEM: аномальное отклонение по признаку unique_source_process (снижение); SIEM: появление новых классов сетевых событий (снижение); PAN: резкое изменение количества событий (снижение),"Проверить назначения соединений, сверить с белыми/чёрными списками.; Сопоставить новые категории с типовыми сценариями и расследовать отклонения.; Проверить контекст событий по признаку unique_source_process в исходных данных.; Проверить сетевую активность, типы трафика и правила NGFW.; Проверить источники событий и наличие массовых операций/сканирований."
user,user090,2025-12-31,low,"siem_unique_category:+2.09 (v=2, base=1); pan_events_total:+1.47 (v=9968, base=4240); pan_share_of_all_events:+1.37 (v=1, base=0); siem_unique_destination_addr:-0.90 (v=12, base=14); siem_business_share:-0.77 (v=0, base=0)",SIEM: появление новых категорий событий (рост); PAN: резкое изменение количества событий (рост); PAN: аномальное отклонение по признаку share_of_all_events (рост); SIEM: новые адреса назначения в сети (снижение); SIEM: смещение активности между рабочими и нерабочими часами (снижение),"Сопоставить новые категории с типовыми сценариями и расследовать отклонения.; Проверить источники событий и наличие массовых операций/сканирований.; Проверить контекст событий по признаку share_of_all_events в исходных данных.; Проверить назначения соединений, сверить с белыми/чёрными списками.; Проверить регламенты и плановые работы, сравнить с типовым графиком."
user,user050,2025-12-31,low,"siem_events_total:-3.96 (v=837, base=2802); siem_unique_source_process:-1.93 (v=13, base=23); siem_night_share:+1.49 (v=0, base=0); siem_unique_destination_addr:-1.35 (v=9, base=11); pan_share_of_all_events:+0.92 (v=1, base=1)",SIEM: резкое изменение количества событий (снижение); SIEM: аномальное отклонение по признаку unique_source_process (снижение); SIEM: рост ночной активности (рост); SIEM: новые адреса назначения в сети (снижение); PAN: аномальное отклонение по признаку share_of_all_events (рост),"Проверить источники событий и наличие массовых операций/сканирований.; Проверить контекст событий по признаку unique_source_process в исходных данных.; Проверить события вне рабочего времени и возможные автоматизации.; Проверить назначения соединений, сверить с белыми/чёрными списками.; Проверить контекст событий по признаку share_of_all_events в исходных данных."
user,user011,2025-12-31,low,"siem_business_share:-1.39 (v=0, base=0); pan_business_share:-0.79 (v=0, base=0); siem_events_total:-0.72 (v=6880, base=10376); pan_night_share:+0.71 (v=0, base=0); siem_night_share:+0.70 (v=0, base=0)",SIEM: смещение активности между рабочими и нерабочими часами (снижение); PAN: смещение активности между рабочими и нерабочими часами (снижение); SIEM: резкое изменение количества событий (снижение); PAN: рост ночной активности (рост); SIEM: рост ночной активности (рост),"Проверить регламенты и плановые работы, сравнить с типовым графиком.; Проверить источники событий и наличие массовых операций/сканирований.; Проверить события вне рабочего времени и возможные автоматизации."
user,user003,2025-12-31,low,"siem_events_total:-1.07 (v=2354, base=4602); siem_unique_event_class:-0.67 (v=5, base=6); siem_unique_name:-0.67 (v=5, base=6); siem_night_share:-0.67 (v=0, base=0); pan_night_share:-0.67 (v=0, base=0)",SIEM: резкое изменение количества событий (снижение); SIEM: появление новых классов сетевых событий (снижение); SIEM: появление новых имён событий/программ (снижение); SIEM: рост ночной активности (снижение); PAN: рост ночной активности (снижение),"Проверить источники событий и наличие массовых операций/сканирований.; Проверить сетевую активность, типы трафика и правила NGFW.; Проверить запуск новых приложений/процессов и соответствие политике.; Проверить события вне рабочего времени и возможные автоматизации."
user,user039,2025-12-31,low,"siem_events_total:-3.84 (v=3507, base=5640); siem_unique_source_process:-3.47 (v=9, base=27); siem_unique_destination_addr:-2.02 (v=12, base=16); siem_unique_category:+1.97 (v=2, base=1); pan_unique_destination_addr:-1.15 (v=136, base=220)",SIEM: резкое изменение количества событий (снижение); SIEM: аномальное отклонение по признаку unique_source_process (снижение); SIEM: новые адреса назначения в сети (снижение); SIEM: появление новых категорий событий (рост); PAN: новые адреса назначения в сети (снижение),"Проверить источники событий и наличие массовых операций/сканирований.; Проверить контекст событий по признаку unique_source_process в исходных данных.; Проверить назначения соединений, сверить с белыми/чёрными списками.; Сопоставить новые категории с типовыми сценариями и расследовать отклонения."
user,user004,2025-12-31,low,"siem_night_share:+3.01 (v=0, base=0); pan_unique_event_class:+1.71 (v=3, base=2); pan_night_share:+1.48 (v=0, base=0); pan_share_of_all_events:-1.42 (v=1, base=1); pan_events_total:-1.20 (v=9809, base=14308)",SIEM: рост ночной активности (рост); PAN: появление новых классов сетевых событий (рост); PAN: рост ночной активности (рост); PAN: аномальное отклонение по признаку share_of_all_events (снижение); PAN: резкое изменение количества событий (снижение),"Проверить события вне рабочего времени и возможные автоматизации.; Проверить сетевую активность, типы трафика и правила NGFW.; Проверить контекст событий по признаку share_of_all_events в исходных данных.; Проверить источники событий и наличие массовых операций/сканирований."
user,user019,2025-12-31,low,"siem_unique_event_class:-3.10 (v=11, base=22); siem_unique_name:-2.28 (v=11, base=24); pan_share_of_all_events:+2.05 (v=0, base=0); siem_unique_source_process:-1.54 (v=2, base=10); siem_events_total:-1.27 (v=6643, base=13963)",SIEM: появление новых классов сетевых событий (снижение); SIEM: появление новых имён событий/программ (снижение); PAN: аномальное отклонение по признаку share_of_all_events (рост); SIEM: аномальное отклонение по признаку unique_source_process (снижение); SIEM: резкое изменение количества событий (снижение),"Проверить сетевую активность, типы трафика и правила NGFW.; Проверить запуск новых приложений/процессов и соответствие политике.; Проверить контекст событий по признаку share_of_all_events в исходных данных.; Проверить контекст событий по признаку unique_source_process в исходных данных.; Проверить источники событий и наличие массовых операций/сканирований."
user,user107,2025-12-31,low,"siem_unique_destination_addr:-2.70 (v=9, base=13); siem_unique_name:-2.70 (v=3, base=5); siem_unique_source_process:-2.22 (v=1, base=5); siem_events_total:-1.23 (v=3068, base=3440); siem_unique_event_class:-1.01 (v=3, base=5)",SIEM: новые адреса назначения в сети (снижение); SIEM: появление новых имён событий/программ (снижение); SIEM: аномальное отклонение по признаку unique_source_process (снижение); SIEM: резкое изменение количества событий (снижение); SIEM: появление новых классов сетевых событий (снижение),"Проверить назначения соединений, сверить с белыми/чёрными списками.; Проверить запуск новых приложений/процессов и соответствие политике.; Проверить контекст событий по признаку unique_source_process в исходных данных.; Проверить источники событий и наличие массовых операций/сканирований.; Проверить сетевую активность, типы трафика и правила NGFW."
user,user010,2025-12-31,low,"siem_unique_name:+2.02 (v=11, base=8); pan_unique_destination_addr:+1.18 (v=519, base=340); pan_business_share:+1.00 (v=1, base=0); pan_night_share:-0.94 (v=0, base=0); siem_unique_event_class:+0.91 (v=9, base=8)",SIEM: появление новых имён событий/программ (рост); PAN: новые адреса назначения в сети (рост); PAN: смещение активности между рабочими и нерабочими часами (рост); PAN: рост ночной активности (снижение); SIEM: появление новых классов сетевых событий (рост),"Проверить запуск новых приложений/процессов и соответствие политике.; Проверить назначения соединений, сверить с белыми/чёрными списками.; Проверить регламенты и плановые работы, сравнить с типовым графиком.; Проверить события вне рабочего времени и возможные автоматизации.; Проверить сетевую активность, типы трафика и правила NGFW."
