entity,date,day_of_week,is_weekend,siem_events_total,siem_unique_destination_addr,siem_unique_source_process,siem_unique_event_class,siem_unique_category,siem_unique_name,siem_unique_hours,siem_night_share,siem_business_share,pan_events_total,pan_unique_destination_addr,pan_unique_event_class,pan_unique_category,pan_unique_name,pan_unique_hours,pan_night_share,pan_business_share,pan_share_of_all_events
user003,2025-12-31,2,0,2354,20,48,5,1,5,12,0.0,0.6843670348343246,1514,194,1,0,1,12,0.0,0.6373844121532365,0.39141675284384697
user004,2025-12-01,0,0,8999,15,28,10,2,14,24,0.166685187243027,0.5023891543504834,9124,246,2,0,1,24,0.24024550635686104,0.38711091626479616,0.5034486564034653
user004,2025-12-02,1,0,8312,13,22,6,1,9,24,0.17974013474494707,0.4850818094321463,3525,130,1,0,1,17,0.6124822695035461,0.05475177304964539,0.2977950494213061
user004,2025-12-03,2,0,8381,15,27,9,2,10,24,0.14628325975420595,0.5004176112635723,4373,178,2,0,1,22,0.006174251086210839,0.3857763549050995,0.34287282421201193
user004,2025-12-04,3,0,7196,12,26,8,1,11,24,0.16967759866592552,0.45789327404113395,14644,513,2,0,1,24,0.19967222070472548,0.5090139306200492,0.6705128205128205
user004,2025-12-05,4,0,8717,18,24,9,2,10,24,0.15062521509693702,0.513135252953998,16779,415,2,0,1,24,0.18034447821681865,0.5506883604505632,0.6581032318795105
user004,2025-12-06,5,1,6385,11,9,6,1,7,24,0.19718089271730618,0.4551292090837901,10591,223,2,0,1,24,0.2742894910773298,0.3840997072986498,0.6238807728557965
user004,2025-12-07,6,1,6955,14,25,9,2,10,24,0.16836808051761323,0.4654205607476635,9879,251,2,0,1,24,0.2679420994027736,0.37878327765968217,0.5868480456219556
user004,2025-12-08,0,0,7611,14,23,8,1,9,24,0.16554986204178163,0.566942583103403,13557,380,2,0,1,24,0.1683263258833075,0.5926827469204101,0.6404478458049887
user004,2025-12-09,1,0,7255,15,23,9,2,10,24,0.15630599586492075,0.5218470020675396,11631,318,2,0,1,24,0.21881179606224743,0.43650588943341073,0.6158530128137244
user004,2025-12-10,2,0,9198,18,26,9,2,9,24,0.12350510980647966,0.5574037834311807,14771,386,2,0,1,24,0.19105003046510052,0.5292126464017332,0.6162543285076557
user004,2025-12-11,3,0,9124,14,31,8,1,8,24,0.18873301183691363,0.5089872862779483,15772,472,2,0,1,24,0.18792797362414404,0.5214937864570124,0.6335154241645244
user004,2025-12-12,4,0,8097,14,23,8,1,8,24,0.18167222428059776,0.5079659133012226,19270,1073,2,0,1,24,0.15168655941878567,0.6130254281266216,0.7041327145832572
user004,2025-12-13,5,1,6376,12,8,7,1,7,24,0.169228356336261,0.47851317440401503,10762,221,2,0,1,24,0.2639843895186768,0.3907266307377811,0.6279612556891119
user004,2025-12-14,6,1,6775,13,26,7,1,7,24,0.17387453874538744,0.5071586715867159,9536,216,2,0,1,24,0.23783557046979867,0.4044672818791946,0.5846361351235363
user004,2025-12-15,0,0,8231,12,24,5,1,5,24,0.15599562629085165,0.5373587656420848,16877,1155,2,0,1,24,0.14410143982935356,0.5995733838952421,0.6721761988210929
user004,2025-12-16,1,0,7137,20,53,8,1,11,24,0.1794871794871795,0.4728877679697352,16649,986,1,0,1,24,0.1799507477926602,0.5607543996636435,0.6999495501555537
user004,2025-12-17,2,0,7369,13,31,8,1,8,24,0.15429501967702539,0.5080743655855612,17050,986,1,0,1,24,0.15319648093841642,0.5686803519061584,0.6982267906138663
user004,2025-12-18,3,0,7247,12,24,6,1,6,24,0.17165723747757694,0.46860769973782257,14424,629,1,0,1,24,0.18025513033832502,0.5489462007764836,0.6655899589312907
user004,2025-12-19,4,0,7830,13,23,7,1,7,24,0.18122605363984676,0.49808429118773945,15348,1262,1,0,1,24,0.16888193901485535,0.6042481105029971,0.6621796531193374
user004,2025-12-20,5,1,7692,12,25,5,1,6,24,0.17199687987519502,0.4889495579823193,8887,192,1,0,1,24,0.24485203105659953,0.392033307077754,0.5360395681283552
user004,2025-12-21,6,1,7072,15,21,7,1,7,24,0.19951923076923078,0.428591628959276,8720,177,1,0,1,24,0.24587155963302754,0.3893348623853211,0.5521783181357649
user004,2025-12-22,0,0,7891,15,26,7,1,7,24,0.1751362311494107,0.470155873780256,14188,796,1,0,1,24,0.14984493938539611,0.545531435015506,0.6426015670999592
user004,2025-12-23,1,0,8320,13,26,7,1,8,24,0.1658653846153846,0.4558894230769231,14201,299,1,0,1,24,0.23096965002464614,0.46264347581156257,0.6305670263309799
user004,2025-12-24,2,0,8359,13,30,8,1,8,24,0.17322646249551382,0.4933604498145711,16157,537,1,0,1,24,0.1661199480101504,0.6216500587980441,0.6590389949420786
user004,2025-12-25,3,0,7490,13,29,8,2,8,24,0.17797062750333778,0.46395193591455275,14941,948,2,0,1,24,0.14865136202396093,0.5942038685496286,0.6660871115866435
user004,2025-12-26,4,0,8245,13,28,6,2,6,24,0.16737416616130987,0.4920557913887204,19292,1133,3,0,1,24,0.13233464648558987,0.5498133941530168,0.7005846679013691
user004,2025-12-27,5,1,7139,12,23,7,1,7,24,0.1977868048746323,0.4308726712424709,14416,259,2,0,1,24,0.27941176470588236,0.3776359600443951,0.6688007422871723
user004,2025-12-28,6,1,6420,11,7,8,2,8,24,0.21168224299065422,0.4158878504672897,12701,188,2,0,1,24,0.22328950476340445,0.38902448626092434,0.664243501908896
user004,2025-12-29,0,0,8441,18,26,8,1,8,24,0.17000355408127,0.5329937211230897,16059,459,2,0,1,24,0.2180085933121614,0.5090603399962638,0.655469387755102
user004,2025-12-30,1,0,8023,15,27,10,2,11,24,0.17649258382151314,0.48323569737006106,10516,264,3,0,1,24,0.24752757702548497,0.3781856219094713,0.567236636280274
user004,2025-12-31,2,0,6937,14,22,7,1,7,24,0.2029695833933977,0.4581231079717457,9809,270,3,0,1,24,0.29014170659598326,0.3591599551432358,0.585751821330467
user005,2025-12-01,0,0,12379,23,78,10,1,15,24,0.10647063575409968,0.6254140075935052,11132,504,2,0,1,24,0.22969816744520302,0.3576176787639238,0.47348049849006846
user005,2025-12-02,1,0,11226,21,38,10,1,16,24,0.04391590949581329,0.5507749866381614,3971,160,3,0,1,22,0.5268194409468647,0.09040543943591035,0.2613015726788182
user005,2025-12-03,2,0,13647,21,37,12,1,15,24,0.07137099728878142,0.6487140030775995,4411,288,3,0,1,19,0.09453638630695987,0.20290183631829517,0.2442684682689113
user005,2025-12-04,3,0,13258,22,38,10,2,13,24,0.07459647005581535,0.5709760144818223,10711,397,2,0,1,24,0.24619549995331902,0.35879002894220896,0.44686887229337896
user005,2025-12-05,4,0,14655,21,31,10,1,13,24,0.1181166837256909,0.5527806209484818,10715,403,3,0,1,24,0.2380774615025665,0.3777881474568362,0.4223492313756405
user005,2025-12-06,5,1,5282,14,11,10,1,10,24,0.2249148049981068,0.37504733055660733,9838,184,3,0,1,24,0.24029274242732263,0.34966456596869283,0.6506613756613756
user005,2025-12-07,6,1,5211,14,10,10,1,10,24,0.22030320475916332,0.3849549030896181,8370,189,3,0,1,24,0.3103942652329749,0.4111111111111111,0.6163021868787276
user005,2025-12-08,0,0,13056,20,40,11,1,16,24,0.08984375,0.6553308823529411,9744,356,3,0,1,24,0.1990968801313629,0.43688423645320196,0.42736842105263156
user005,2025-12-09,1,0,14081,18,33,9,1,12,24,0.09686812016192031,0.4503231304594844,9495,389,2,0,1,24,0.2238020010531859,0.37251184834123224,0.40274007465218864
user005,2025-12-10,2,0,12512,22,41,11,1,13,24,0.10078324808184143,0.5571451406649617,10049,355,2,0,1,24,0.21415066175738878,0.37147974922877897,0.44541465360577986
user005,2025-12-11,3,0,14132,28,71,10,1,14,24,0.08392301160486838,0.6207896971412398,11768,374,2,0,1,24,0.20768184908225698,0.397093813732155,0.45436293436293435
user005,2025-12-12,4,0,11310,21,33,12,2,12,24,0.11883289124668435,0.6365163572060124,13105,435,2,0,1,24,0.19473483403281192,0.46020602823349865,0.536760188408765
user005,2025-12-13,5,1,4930,13,13,12,2,12,24,0.2411764705882353,0.38640973630831643,9835,180,2,0,1,24,0.22816471784443315,0.37600406710726997,0.666102268879106
user005,2025-12-14,6,1,5248,13,12,9,1,9,24,0.2581935975609756,0.37347560975609756,9572,175,3,0,1,24,0.23171750940242375,0.35885917258671124,0.6458839406207827
user005,2025-12-15,0,0,11234,20,39,10,1,10,24,0.132455047178209,0.5532312622396297,12481,516,3,0,1,24,0.19838153994070987,0.4148706033170419,0.5262913767657601
user005,2025-12-16,1,0,12714,26,51,11,1,13,24,0.1110586754758534,0.556237218813906,10517,362,1,0,1,24,0.22582485499667204,0.37082818294190356,0.4527140458869614
user005,2025-12-17,2,0,12067,22,37,10,1,10,24,0.12513466478826551,0.5563934697936521,7156,344,1,0,1,18,0.3198714365567356,0.47931805477920625,0.3722623940071789
user005,2025-12-18,3,0,13722,26,65,11,1,11,24,0.10370208424427926,0.5617985716367876,4532,271,1,0,1,10,0.0,0.26610767872903796,0.24827435082721594
user005,2025-12-19,4,0,13353,25,65,10,1,10,24,0.0896427769040665,0.5606979704935221,7528,315,1,0,1,20,0.2788257173219979,0.4998671625929862,0.3605191322254681
user005,2025-12-20,5,1,5668,16,34,11,1,11,24,0.18807339449541285,0.41813690896259703,0,0,0,0,0,0,0.0,0.0,0.0
